gps_seconds[s],file_name,latitude[deg],longitude[deg],altitude_ellipsoidal[m],roll[deg],pitch[deg],heading[deg],projectedX[m],projectedY[m],projectedZ[m]
1315208384.03,pano_000000_000168,51.6329023,0.2994513,130.735,1.41507,-1.52312,-120.44735,559236.275,195180.325,85.445
1315208384.155,pano_000000_000169,51.6329149,0.2994905,130.669,1.5337,-1.70637,-120.48873,559238.942,195181.815,85.38
1315208384.28,pano_000000_000170,51.6329277,0.2995298,130.606,1.90327,-1.38254,-120.51456,559241.615,195183.321,85.316
1315208384.405,pano_000000_000171,51.6329405,0.299569,130.527,2.18713,-1.54244,-120.52077,559244.285,195184.826,85.238
1315208384.53,pano_000000_000172,51.6329532,0.2996085,130.458,2.0928,-1.49536,-120.53601,559246.97,195186.327,85.168
1315208384.655,pano_000000_000173,51.6329659,0.2996481,130.393,1.81657,-1.45563,-120.5594,559249.666,195187.824,85.103
1315208384.78,pano_000000_000174,51.6329786,0.2996876,130.324,1.76737,-1.60003,-120.55943,559252.36,195189.327,85.034
1315208384.905,pano_000000_000175,51.6329914,0.2997273,130.256,1.79962,-1.55139,-120.51255,559255.056,195190.838,84.967
1315208385.03,pano_000000_000176,51.6330042,0.299767,130.189,1.78677,-1.39144,-120.49102,559257.759,195192.349,84.899
1315208385.155,pano_000000_000177,51.6330171,0.2998067,130.119,1.84422,-1.47756,-120.48153,559260.462,195193.86,84.829
1315208385.28,pano_000000_000178,51.6330299,0.2998464,130.053,1.93633,-1.47379,-120.4787,559263.169,195195.375,84.763
1315208385.405,pano_000000_000179,51.6330427,0.2998862,129.982,1.84967,-1.75268,-120.44293,559265.875,195196.883,84.693
1315208385.53,pano_000000_000180,51.6330555,0.2999262,129.927,1.58176,-1.32502,-120.46629,559268.595,195198.39,84.638
1315208385.655,pano_000000_000181,51.6330683,0.2999661,129.865,1.54283,-1.20482,-120.45856,559271.313,195199.903,84.575
1315208385.78,pano_000000_000182,51.6330811,0.3000059,129.785,1.67084,-1.59551,-120.4396,559274.022,195201.417,84.496
1315208385.905,pano_000000_000183,51.633094,0.3000458,129.71,1.80638,-1.38219,-120.38999,559276.738,195202.937,84.421
1315208386.03,pano_000000_000184,51.6331069,0.3000857,129.636,1.94007,-1.35953,-120.37856,559279.456,195204.455,84.346
1315208386.155,pano_000000_000185,51.6331197,0.3001258,129.567,1.79286,-1.30567,-120.34657,559282.185,195205.969,84.277
1315208386.28,pano_000000_000186,51.6331325,0.3001659,129.491,1.57737,-1.61362,-120.35077,559284.916,195207.476,84.201
1315208386.405,pano_000000_000187,51.6331453,0.3002061,129.423,1.57479,-1.58006,-120.34844,559287.654,195208.994,84.134
1315208386.525,pano_000000_000188,51.6331577,0.3002448,129.359,1.64837,-1.50713,-120.31134,559290.287,195210.458,84.069
1315208386.645,pano_000000_000189,51.6331702,0.3002835,129.29,1.74703,-1.57063,-120.30775,559292.924,195211.924,84.001
1315208386.765,pano_000000_000190,51.6331826,0.3003224,129.225,1.82215,-1.49829,-120.32398,559295.569,195213.394,83.936
1315208386.885,pano_000000_000191,51.6331951,0.3003614,129.155,1.81913,-1.42658,-120.33542,559298.224,195214.867,83.866
1315208387.006,pano_000000_000192,51.6332077,0.3004008,129.078,1.8598,-1.58137,-120.35475,559300.904,195216.355,83.789
1315208387.125,pano_000000_000193,51.6332201,0.3004396,129.004,1.82058,-1.7044,-120.35643,559303.549,195217.822,83.715
1315208387.246,pano_000000_000194,51.6332328,0.3004793,128.939,1.78933,-1.4592,-120.36962,559306.252,195219.321,83.65
1315208387.365,pano_000000_000195,51.6332453,0.3005184,128.87,1.70718,-1.48481,-120.37024,559308.913,195220.796,83.581
1315208387.485,pano_000000_000196,51.633258,0.3005578,128.797,1.65218,-1.65889,-120.39238,559311.597,195222.285,83.508
1315208387.606,pano_000000_000197,51.6332707,0.3005976,128.733,1.7001,-1.66676,-120.43477,559314.309,195223.793,83.444
1315208387.726,pano_000000_000198,51.6332835,0.3006372,128.676,1.84483,-1.38071,-120.45297,559317.002,195225.298,83.387
1315208387.846,pano_000000_000199,51.6332963,0.3006768,128.606,1.94617,-1.40056,-120.46212,559319.693,195226.803,83.316
1315208387.966,pano_000000_000200,51.633309,0.3007163,128.531,1.89047,-1.57024,-120.47126,559322.385,195228.304,83.241
1315208388.086,pano_000000_000201,51.6333217,0.300756,128.464,1.78106,-1.48894,-120.50847,559325.085,195229.806,83.175
1315208388.206,pano_000000_000202,51.6333345,0.3007956,128.397,1.73847,-1.43081,-120.52882,559327.785,195231.31,83.108
1315208388.326,pano_000000_000203,51.6333473,0.3008353,128.329,1.72491,-1.27602,-120.53266,559330.484,195232.819,83.039
1315208388.446,pano_000000_000204,51.63336,0.3008749,128.255,1.70736,-1.49146,-120.55063,559333.181,195234.327,82.965
1315208388.566,pano_000000_000205,51.6333728,0.3009145,128.185,1.71782,-1.57046,-120.57856,559335.879,195235.836,82.896
1315208388.686,pano_000000_000206,51.6333857,0.3009542,128.12,1.7388,-1.39118,-120.60626,559338.581,195237.351,82.83
1315208388.806,pano_000000_000207,51.6333986,0.3009939,128.049,1.86115,-1.30929,-120.62966,559341.28,195238.869,82.759
1315208388.926,pano_000000_000208,51.6334114,0.3010335,127.974,1.95841,-1.411,-120.63962,559343.977,195240.388,82.685
1315208389.046,pano_000000_000209,51.6334243,0.3010732,127.904,1.97883,-1.44414,-120.66093,559346.676,195241.906,82.615
1315208389.166,pano_000000_000210,51.6334372,0.3011129,127.836,1.97018,-1.3549,-120.67531,559349.379,195243.425,82.546
1315208389.286,pano_000000_000211,51.63345,0.3011525,127.764,1.88914,-1.47408,-120.6843,559352.079,195244.941,82.475
1315208389.406,pano_000000_000212,51.6334629,0.3011923,127.7,1.86331,-1.42462,-120.70419,559354.782,195246.461,82.41
1315208389.526,pano_000000_000213,51.6334759,0.301232,127.634,1.8805,-1.45619,-120.72248,559357.485,195247.984,82.344
1315208389.646,pano_000000_000214,51.6334888,0.3012717,127.563,1.90096,-1.35658,-120.71672,559360.188,195249.509,82.274
1315208389.766,pano_000000_000215,51.6335017,0.3013114,127.488,1.86752,-1.37899,-120.71973,559362.89,195251.032,82.199
1315208389.886,pano_000000_000216,51.6335146,0.3013511,127.416,1.86078,-1.42866,-120.72611,559365.594,195252.555,82.127
1315208390.006,pano_000000_000217,51.6335276,0.3013909,127.347,1.85666,-1.44054,-120.71081,559368.298,195254.08,82.058
1315208390.126,pano_000000_000218,51.6335405,0.3014306,127.277,1.84692,-1.38709,-120.68022,559371.003,195255.604,81.988
1315208390.246,pano_000000_000219,51.6335534,0.3014704,127.208,1.8377,-1.38993,-120.64981,559373.709,195257.128,81.919
1315208390.366,pano_000000_000220,51.6335663,0.3015101,127.139,1.85851,-1.38702,-120.62171,559376.416,195258.651,81.85
1315208390.486,pano_000000_000221,51.6335792,0.3015499,127.069,1.85199,-1.40739,-120.59422,559379.125,195260.173,81.78
1315208390.606,pano_000000_000222,51.6335921,0.3015897,126.996,1.84492,-1.36832,-120.57139,559381.834,195261.693,81.707
1315208390.726,pano_000000_000223,51.633605,0.3016295,126.923,1.87041,-1.52721,-120.56879,559384.542,195263.212,81.634
1315208390.846,pano_000000_000224,51.6336179,0.3016694,126.858,1.98929,-1.39109,-120.54226,559387.254,195264.736,81.569
1315208390.966,pano_000000_000225,51.6336308,0.3017092,126.788,2.03077,-1.32334,-120.51372,559389.965,195266.258,81.499
1315208391.086,pano_000000_000226,51.6336437,0.301749,126.715,1.96902,-1.40194,-120.48602,559392.678,195267.774,81.426
1315208391.206,pano_000000_000227,51.6336565,0.3017889,126.645,1.77071,-1.65613,-120.4734,559395.393,195269.284,81.356
1315208391.326,pano_000000_000228,51.6336693,0.3018289,126.584,1.6448,-1.50352,-120.46102,559398.114,195270.796,81.295
1315208391.447,pano_000000_000229,51.6336823,0.3018692,126.519,1.63874,-1.25543,-120.43315,559400.857,195272.326,81.23
1315208391.567,pano_000000_000230,51.6336951,0.3019091,126.444,1.77065,-1.39343,-120.40073,559403.57,195273.844,81.155
1315208391.687,pano_000000_000231,51.633708,0.3019489,126.37,1.88482,-1.64528,-120.3645,559406.282,195275.359,81.081
1315208391.807,pano_000000_000232,51.6337208,0.3019889,126.308,1.8385,-1.50686,-120.3416,559409.003,195276.872,81.02
1315208391.927,pano_000000_000233,51.6337336,0.3020289,126.247,1.77844,-1.23088,-120.32565,559411.728,195278.383,80.958
1315208392.047,pano_000000_000234,51.6337464,0.3020688,126.173,1.76403,-1.37325,-120.30358,559414.447,195279.892,80.884
1315208392.167,pano_000000_000235,51.6337592,0.3021087,126.099,1.84507,-1.58783,-120.29413,559417.164,195281.401,80.81
1315208392.287,pano_000000_000236,51.633772,0.3021487,126.034,1.93146,-1.42558,-120.27094,559419.885,195282.913,80.745
1315208392.407,pano_000000_000237,51.6337848,0.3021887,125.969,1.95715,-1.37394,-120.24014,559422.607,195284.423,80.68
1315208392.527,pano_000000_000238,51.6337975,0.3022287,125.901,1.9,-1.34333,-120.21333,559425.332,195285.929,80.612
1315208392.647,pano_000000_000239,51.6338103,0.3022687,125.825,1.80447,-1.54077,-120.1883,559428.054,195287.429,80.536
1315208392.767,pano_000000_000240,51.6338229,0.3023088,125.756,1.55411,-1.48821,-120.18908,559430.782,195288.927,80.468
1315208392.887,pano_000000_000241,51.6338356,0.3023488,125.694,1.50426,-1.40788,-120.18419,559433.508,195290.427,80.405
1315208393.007,pano_000000_000242,51.6338484,0.3023888,125.632,1.52862,-1.50391,-120.16544,559436.233,195291.93,80.343
1315208393.127,pano_000000_000243,51.6338611,0.3024288,125.565,1.55756,-1.58612,-120.14176,559438.955,195293.433,80.277
1315208393.247,pano_000000_000244,51.6338738,0.3024688,125.501,1.60308,-1.51022,-120.12972,559441.678,195294.935,80.213
1315208393.367,pano_000000_000245,51.6338865,0.3025088,125.44,1.62388,-1.53456,-120.11897,559444.401,195296.435,80.151
1315208393.487,pano_000000_000246,51.6338992,0.3025488,125.379,1.61042,-1.57031,-120.10559,559447.125,195297.934,80.091
1315208393.607,pano_000000_000247,51.6339119,0.3025888,125.317,1.58552,-1.5763,-120.106,559449.85,195299.432,80.029
1315208393.727,pano_000000_000248,51.6339246,0.3026288,125.256,1.59804,-1.52386,-120.09598,559452.573,195300.93,79.967
1315208393.847,pano_000000_000249,51.6339373,0.3026689,125.194,1.60991,-1.50213,-120.07698,559455.298,195302.428,79.905
1315208393.967,pano_000000_000250,51.6339499,0.3027088,125.128,1.57166,-1.61089,-120.06913,559458.021,195303.923,79.839
1315208394.087,pano_000000_000251,51.6339626,0.3027488,125.064,1.51453,-1.68575,-120.06756,559460.744,195305.416,79.776
1315208394.207,pano_000000_000252,51.6339753,0.3027889,125.009,1.55049,-1.56306,-120.07612,559463.47,195306.913,79.721
1315208394.327,pano_000000_000253,51.6339879,0.3028288,124.951,1.61062,-1.59059,-120.09104,559466.192,195308.411,79.662
1315208394.447,pano_000000_000254,51.6340006,0.3028689,124.892,1.59226,-1.41189,-120.04514,559468.916,195309.908,79.603
1315208394.567,pano_000000_000255,51.6340132,0.3029088,124.826,1.56927,-1.80573,-120.06971,559471.635,195311.398,79.538
1315208394.687,pano_000000_000256,51.6340259,0.3029488,124.77,1.50732,-1.76048,-120.07297,559474.36,195312.891,79.482
1315208394.807,pano_000000_000257,51.6340385,0.3029888,124.716,1.50417,-1.58068,-120.06448,559477.083,195314.385,79.428
